Link;Preco;Endereco;Tipo;Area
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-39m2-RS195000/id-25277332/;R$ 195.000;Rua Engenheiro Eduardo De Almendra Freitas, Gurupi, Teresina/PI;apartamento;39m² / 39m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-39m2-RS199000/id-25106960/;R$ 199.000;Rua Engenheiro Eduardo De Almendra Freitas, Gurupi, Teresina/PI;apartamento;39m² / 39m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-39m2-RS199000/id-25106964/;R$ 199.000;Rua Engenheiro Eduardo De Almendra Freitas, Gurupi, Teresina/PI;apartamento;39m² / 39m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-39m2-RS199000/id-25256531/;R$ 199.000;Rua Engenheiro Eduardo De Almendra Freitas, Gurupi, Teresina/PI;apartamento;39m² / 39m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-39m2-RS205000/id-25106961/;R$ 205.000;Rua Engenheiro Eduardo De Almendra Freitas, Gurupi, Teresina/PI;apartamento;39m² / 39m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-39m2-RS205000/id-26414824/;R$ 205.000;Rua Engenheiro Eduardo De Almendra Freitas, Gurupi, Teresina/PI;apartamento;39m² / 39m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-39m2-RS210000/id-24267201/;R$ 210.000;Rua Engenheiro Eduardo De Almendra Freitas, Gurupi, Teresina/PI;apartamento;39m² / 39m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-43m2-RS242990/id-21032416/;R$ 242.990;Rua Particular Projetada 01, Gurupi, Teresina/PI;apartamento;43m² / 43m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-48m2-RS135000/id-29110739/;R$ 135.000;Avenida Mirtes Melão, 5793, Gurupi, Teresina/PI;apartamento;48m² / 48m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-48m2-RS140000/id-29110777/;R$ 140.000;Avenida Mirtes Melão, 5793, Gurupi, Teresina/PI;apartamento;48m² / 48m²
